vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
TANVEER ABIDALI LASHKARI,1563750.0,5,312750.0,47.362,V1
SARO OVERSEAS PRIVATE LIMITED,1557710.0,7,222530.0,48.208571428571425,V1
M SENTHILKUMAR,1519842.0,1,1519842.0,16.39,V1
VADIHBOINA CHENCHU REDDY,1519767.0,4,379941.75,46.6875,V1
RAJ DINESH PANDIRKAR,1500000.0,1,1500000.0,16.32,V1
GRAM PANCHYAT MOTIWADA NEW,1500000.0,3,500000.0,45.97,V1
DAKTAR MURMU,1500000.0,3,500000.0,45.97,V1
Raju S,1500000.0,1,1500000.0,16.32,V1
SUBRAMANIAN,1499401.0,1,1499401.0,16.32,V1
RICHARD HARDSON K,1499336.0,1,1499336.0,16.32,V1
kalpesh vasant vichare,1498862.0,1,1498862.0,16.32,V1
Shivneri Coop Labour Society ltd,1498861.0,1,1498861.0,34.11,V1
Gangadharan V K,1498694.0,1,1498694.0,16.32,V1
ADVIK ENTERPRISES PRO RAHUL PRATAP,1497134.0,1,1497134.0,16.32,V1
Bandaru Narasimha rao,1492660.0,3,497553.3333333333,45.97,V1
BIBI NASRIN,1492019.0,1,1492019.0,16.32,V1
Srinivas Reddy Boyella,1487270.0,1,1487270.0,16.32,V1
Reddys Engineeering Contractors,1487226.0,3,495742.0,45.97,V1
gram panchayat ghogari tq hadgaon,1487075.0,1,1487075.0,16.32,V1
Xavier Prabhu,1485403.0,1,1485403.0,16.32,V1
SATYENDRA SINGH,1485277.0,1,1485277.0,16.32,V1
Hindustan Enterprises,1484041.0,1,1484041.0,16.32,V1
KASTHURI SHANMUGAM,1482790.0,1,1482790.0,16.32,V1
PANDIAN V Contractor,1482499.0,1,1482499.0,16.32,V1
NUTAN KAMGAR SAHAKARI SANSTHA,1466928.0,1,1466928.0,16.32,V1
DHUPENDRA PRASAD,1458930.0,1,1458930.0,16.32,V1
Nav Durga Concrete Udyog,1448330.0,1,1448330.0,16.32,V1
Aditya Construction,1425512.0,10,142551.2,52.54599999999999,V1
JOGINDER SINGH CONTRACTOR,1417221.0,3,472407.0,43.69333333333333,V1
SAGARIKA SWAIN,1412871.0,2,706435.5,36.010000000000005,V1
THE MANGAWAS COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD,1412438.0,2,706219.0,33.985,V1
Sukhlipura Gram Panchayat,1411635.0,3,470545.0,45.79666666666666,V1
SAHARA INFRASTRUCTURES,1411024.0,1,1411024.0,16.23,V1
