mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
MAHESH KASHYAP,MAHESH KASHYAP,Chhattisgarh,BASTAR(ST),2,0.0,978916.0,2108230.0,1283222.0,12.71,14.86,0,0,1,215.36372885926883,Low
BHARATSINHJI SHANKARJI DABHI,Bharatsinhji Shankarji Dabhi,Gujarat,PATAN,2,300000.0,800000.0,700000.0,200000.0,12.655,23.68,0,0,1,87.5,Low
SHRI ABHISHEK BANERJEE,Shri Abhishek Banerjee,West Bengal,DIAMOND HARBOUR,2,1397670.0,1894000.0,1143503.0,243503.0,12.625,16.14,0,0,2,60.37502639915523,Low
BASTIPATI NAGARAJU PANCHALINGALA,BASTIPATI NAGARAJU PANCHALINGALA,Andhra Pradesh,KURNOOL,1,2998485.0,2998485.0,0.0,0.0,12.58,12.58,0,0,0,0.0,Low
SMT SAJDA AHMED,Smt Sajda Ahmed,West Bengal,ULUBERIA,2,1629039.0,1748128.0,996658.0,0.0,12.425,19.12,0,0,1,57.01287319921653,Low
RAJ KUMAR ROAT,RAJ KUMAR ROAT,Rajasthan,BANSWARA(ST),1,2000000.0,300000.0,0.0,0.0,12.18,12.18,0,0,1,0.0,Low
ALOK KUMAR SUMAN,Alok Kumar Suman,Bihar,GOPALGANJ (SC),3,1032374.0,3022374.0,2849175.0,1854175.0,12.08,20.07,0,0,1,94.26943852746219,Low
CN ANNADURAI,CN Annadurai,Tamil Nadu,TIRUVANNAMALAI,2,1435000.0,1435000.0,445468.0,10468.0,12.025,22.19,0,0,1,31.043066202090593,Low
SHRI ARJUN RAM MEGHWAL,Shri Arjun Ram Meghwal,Rajasthan,BIKANER(SC),2,0.0,2100000.0,1962162.0,399841.0,12.025,12.05,0,0,2,93.43628571428572,Low
THARANIVENTHAN M S,THARANIVENTHAN M S,Tamil Nadu,ARANI,2,956670.0,956670.0,0.0,0.0,11.92,14.68,0,0,2,0.0,Low
